[22, 15, 7, 4]	A-10A
[8, 5, 3, 1]	A-1E
[8, 5, 3, 1]	A-1H
[8, 5, 3, 1]	A-1J
[14, 9, 5, 2]	A-26A
[10, 7, 3, 2]	A-37B
[24, 16, 8, 4]	A-3B (Early)
[24, 16, 8, 4]	A-3B (Late)
[11, 7, 4, 2]	A-4C (1965 Upgrade)
[11, 7, 4, 2]	A-4C (1966 Upgrade)
[11, 7, 4, 2]	A-4C
[11, 7, 4, 2]	A-4E (1969 Upgrade)
[11, 7, 4, 2]	A-4E
[32, 21, 11, 5]	A-5A
[32, 21, 11, 5]	A-5B
[24, 16, 8, 4]	A-6A (1965 Upgrade)
[24, 16, 8, 4]	A-6A
[26, 17, 9, 4]	A-6B
[30, 20, 10, 5]	A-6E (1978 TRAM Upgrade)
[28, 19, 9, 5]	A-6E
[18, 12, 6, 3]	A-7A
[18, 12, 6, 3]	A-7B
[20, 13, 7, 3]	A-7C
[24, 16, 8, 4]	A-7D (1975 Upgrade)
[24, 16, 8, 4]	A-7D (1981 Upgrade)
[24, 16, 8, 4]	A-7D
[24, 16, 8, 4]	A-7E (1980 Upgrade)
[24, 16, 8, 4]	A-7E (1985 Upgrade)
[24, 16, 8, 4]	A-7E
[20, 13, 7, 3]	A-7P
[24, 16, 8, 4]	A3D-2 (Early)
[24, 16, 8, 4]	A3D-2 (Late)
[34, 23, 11, 6]	A3D-2Q
[32, 21, 11, 5]	A3J-1
[32, 21, 11, 5]	A3J-2
[40, 27, 13, 7]	A3J-3P
[11, 7, 4, 2]	A4D-2N
[11, 7, 4, 2]	A4D-5
[7, 5, 2, 1]	AD-4
[8, 5, 3, 1]	AD-5
[8, 5, 3, 1]	AD-6
[8, 5, 3, 1]	AD-7
[0, 0, 0, 0]	AH-1F
[5, 3, 2, 1]	AT-33A
[7, 5, 2, 1]	AU-1
[12, 8, 4, 2]	Alpha Jet A
[10, 7, 3, 2]	Alpha Jet E
[12, 8, 4, 2]	B-26B (No Turrets)
[12, 8, 4, 2]	B-26B (One Turret)
[12, 8, 4, 2]	B-26B (Two Turrets)
[12, 8, 4, 2]	B-26C (No Turrets)
[12, 8, 4, 2]	B-26C (One Turret)
[12, 8, 4, 2]	B-26C (Two Turrets)
[14, 9, 5, 2]	B-26K
[24, 16, 8, 4]	B-29A (Saddletree)
[24, 16, 8, 4]	B-29A (Silverplate)
[24, 16, 8, 4]	B-29A
[42, 28, 14, 7]	B-36D
[28, 19, 9, 5]	B-50A (Saddletree)
[28, 19, 9, 5]	B-50A
[28, 19, 9, 5]	B-50D (Saddletree)
[28, 19, 9, 5]	B-50D
[60, 40, 20, 10]	B-52D
[70, 47, 23, 12]	B-52G
[16, 11, 5, 3]	B-57B (Early)
[16, 11, 5, 3]	B-57B (PAF)
[16, 11, 5, 3]	B-57B
[20, 13, 7, 3]	B-57G
[24, 16, 8, 4]	B-66B (Early)
[24, 16, 8, 4]	B-66B (Late)
[10, 7, 3, 2]	CAC CA-30
[11, 7, 4, 2]	CAC Sabre Mk.30
[11, 7, 4, 2]	CAC Sabre Mk.31 (1960 Upgrade)
[11, 7, 4, 2]	CAC Sabre Mk.31
[12, 8, 4, 2]	CAC Sabre Mk.32
[12, 8, 4, 2]	CF-100 Mk 4B
[13, 9, 4, 2]	CF-100 Mk 5
[8, 5, 3, 1]	Canadair Sabre Mk.2
[9, 6, 3, 2]	Canadair Sabre Mk.4 (6-3 Wing)
[8, 5, 3, 1]	Canadair Sabre Mk.4
[10, 7, 3, 2]	Canadair Sabre Mk.5
[11, 7, 4, 2]	Canadair Sabre Mk.6 (Slatted 6-3 Wing)
[11, 7, 4, 2]	Canadair Sabre Mk.6
[6, 4, 2, 1]	DHA Vampire F.30
[6, 4, 2, 1]	DHA Vampire FB.31
[5, 3, 2, 1]	DHA Vampire T.33
[5, 3, 2, 1]	DHA Vampire T.33A
[5, 3, 2, 1]	DHA Vampire T.34
[5, 3, 2, 1]	DHA Vampire T.34A
[5, 3, 2, 1]	DHA Vampire T.35
[34, 23, 11, 6]	EA-3B
[34, 23, 11, 6]	EB-66C
[11, 7, 4, 2]	AT-26
